"Direction","Code","Name","Type","Description"
"input","curE","Current effort","Effort","A reference input control that maintains current effort (subject to fishing efficiency changes)"
"input","curE75","75% of Current effort","Effort","A reference input control that maintains 75% of current effort"
"input","DDe","Delay-Difference- effort control","Effort","Effort control version of DD - Delay - Difference Stock Assessment with UMSY and MSY leading"
"input","DDe75","Delay-Difference- effort control 75%","Effort","Effort control version of DD - Delay - Difference Stock Assessment with UMSY and MSY leading that fishes at 75 per cent of FMSY"
"input","DDess","Delay-Difference- effort control 75% effort searching","Effort","Effort searching version of DD - Delay - Difference Stock Assessment with UMSY and MSY leading that fishes at 75 per cent of FMSY"
"input","ItargetE1","Effort adjusted target CPUE","Effort","Management procedure incrementally adjusts the effort to reach a target CPUE / relative abundance index."
"input","ItargetE4","Effort adjusted target CPUE","Effort","Management procedure incrementally adjusts the effort to reach a target CPUE / relative abundance index."
"input","LstepCE1","Effort adjusted to recent mean length version 1","Effort","Management procedure that incrementally adjusts the effort according to the mean length of recent catches."
"input","LstepCE2","Effort adjusted to recent mean length version 2","Effort","Management procedure that incrementally adjusts the effort according to the mean length of recent catches."
"input","Ltarget1","Effort adjusted to rmean length version 1","Effort","A management procedure that incrementally adjusts the TAC to reach a target mean length in catches."
"input","Ltarget1","Effort adjusted to mean length version 2","Effort","A management procedure that incrementally adjusts the TAC to reach a target mean length in catches."
"input","matlenlim","Length selectivity equal to maturity","Sel.","Fishing selectivity is set according to the maturity curve"
"input","matlenlim2","Length selectivity higher than maturity","Sel.","fishing selectivity is set slightly higher than the maturity curve"
"input","matagelim","Age selectivity matches the maturity curve","Sel.","Fishing selectivity at age is the same as fraction mature at age"
"input","MRreal","Area 1 Marine Reserve with reallocation","MPA","Sets a marine reserve in Area 1 and reallocates fishing effort to area 2"
"input","MRnoreal","Area 1 Marine Reserve with no reallocation","MPA","Sets a marine reserve in Area 1 with no reallocation of fishing effort to area 2"
"input","slotlim","Slot limit","Sel.","Sets a slot limit to control effort."
"output","AvC","Average Catch","Catch","Sets TAC as average historical catch"
"output","BK","Beddington and Kirkwood life-history ","LH","Sets an OFL according to current abundance and an approximation of FMSY based on length at first capture."
"output","BK_CC","BK linked to a catch curve","LH","Catch-curve analysis is used to estimate current abundance that is linked to BK FMSY estimate to give the OFL"
"output","BK_ML","BK linked to a mean length ","LH","Mean length estimate of current F (abundance) is linked to BK FMSY estimate to provide the OFL"
"output","CC1","Constant catch linked to average catches","Catch","TAC is a average historical catches "
"output","CC4","Constant catch linked to average catches","Catch","TAC is 70% of average historical catches "
"output","CompSRA","Age Composition - Stock Reduction Analysis","F","What constant F creates the current composition, what is FMSY? OFL = FMSY x F / C"
"output","CompSRA4010","CompSRA linked to a 40-10 rule","F","A 40-10 harvest control rule is added to the CompSRA MP"
"output","DAAC","Depletion Adjusted Average Catch","Catch","DCAC multiplied by 2*depletion and divided by BMSY/B0 (Bpeak)"
"output","HDAAC","Hybrid Depletion Adjusted Average Catch","Catch","DCAC multiplied by 2*depletion and divided by BMSY/B0 (Bpeak) when below BMSY, and DCAC above BMSY."
"output","DBSRA","Depletion-Based Stock Reduction Analysis","Catch","The OFL is M x (FMSY/M) x depletion x unfished biomass (the first three factors are user defined, the fourth is determined by historical catches and stock reduction analysis)"
"output","DBSRA_40","DBSRA assuming current depletion is 40%","Catch","DBSRA where stock depletion is fixed at 40%"
"output","DBSRA_ML","DBSRA using mean length to estimate depletion","Catch","Mean length estimate of depletion is used to inform DBSRA depletion"
